完成,教学周,工作周,开发周,日期,组,事件
完成,9,Q310,1,T11月3日,OBS,第一次开会(3101)
完成,9,Q310,1,W11月4日,网页组,图书馆调研:PHP、AngularJS和Bootstrap
完成,9,Q310,1,H11月5日,客户端组,Docker展示
,9,Q310,1,F11月6日,OBS,URT例会(3101)
,10,Q311,2,M11月9日,网页组,开始构建HTML与PHP代码
,10,Q311,2,M11月9日,服务器组,一阶段总结
,10,Q311,2,T11月10日,网页组,HTML基本框架和PHP调用
,10,Q311,2,W11月11日,网页组,头脑风暴(3101)
,11,Q312,3,M11月16日,OBS,各组展示准备
,11,Q312,3,T11月17日,OBS,项目展示
,11,Q312,3,W11月18日,OBS,URT例会(3101)
,12,Q313,4,M11月23日,客户端组,预计完成
,12,Q313,4,M11月23日,网页组,能够实现基本功能
,12,Q313,4,T11月24日,客户端组+服务器组,合并为服务器和编译器组
,12,Q313,4,F11月27日,服务器和编译器组+网页组,全体对接为OBS项目组
,13,Q401,5,M11月30日,OBS,全体结题准备所有代码提交
,13,Q401,5,T12月1日,OBS,结题展示(3101)
